Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Campeche,Hombre,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",16759
20200301,Campeche,Hombre,45 A 64 AÑOS,Gobierno y Organismos Internacionales,6664
20200301,Campeche,Mujer,15 A 24 AÑOS,Servicios Diversos,1941
20200301,Campeche,Mujer,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,557
20200301,Campeche,Hombre,25 A 44 AÑOS,Servicios Sociales,8473
20200301,Campeche,Mujer,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,3232
20200301,Campeche,Mujer,25 A 44 AÑOS,Servicios Diversos,13539
20200301,Campeche,Mujer,25 A 44 AÑOS,"Servicios Profesionales, Financieros y Corporativos",5306
20200301,Campeche,Mujer,NO ESPECIFICADO,Restaurantes y Servicios de Alojamiento,60
20200301,Campeche,Hombre,15 A 24 AÑOS,No Especificado,221
20200301,Campeche,Hombre,25 A 44 AÑOS,Industria Manufacturera,10208
20200301,Campeche,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,3532
20200301,Campeche,Mujer,45 A 64 AÑOS,Servicios Sociales,6341
20200301,Campeche,Hombre,65 AÑOS Y MAS,Servicios Sociales,298
20200301,Campeche,Hombre,15 A 24 AÑOS,Comercio,6784
20200301,Campeche,Hombre,15 A 24 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",2553
20200301,Campeche,Hombre,25 A 44 AÑOS,Servicios Diversos,6721
20200301,Campeche,Mujer,15 A 24 AÑOS,Industria Manufacturera,3302
20200301,Campeche,Mujer,45 A 64 AÑOS,Industria Manufacturera,5232
20200301,Campeche,Mujer,65 AÑOS Y MAS,Servicios Diversos,572
20200301,Campeche,Hombre,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,3964
20200301,Campeche,Mujer,25 A 44 AÑOS,Construcción,1509
20200301,Campeche,Mujer,15 A 24 AÑOS,Comercio,6807
